Student,LPIPS,SSIM
113590028.png,0.0,1.0
112590454.png,0.32006922364234924,0.6198285670847629
113590001.png,0.34722205996513367,0.5870845960920353
113590018.png,0.34765714406967163,0.531931200367199
113370239.png,0.35707858204841614,0.6019843577870186
113590021.png,0.35887759923934937,0.5726903177795716
113590022.png,0.37307724356651306,0.5430227680777848
112590455.png,0.3764360249042511,0.5884171747518668
113590051.png,0.38794761896133423,0.5836800203763494
111590047.png,0.3894503116607666,0.5988849289149414
113590049.png,0.3968179225921631,0.5264919503513796
113590002.png,0.4049178957939148,0.53567730372589
113590015.png,0.4144047498703003,0.5464622233217125
113590026.png,0.4173778295516968,0.5882704089829278
111590028.png,0.4486715495586395,0.5868298941441721
111590455.png,0.4696957767009735,0.5260663483841179
113590025.png,0.47868117690086365,0.6508926379186502
113590010.png,0.4930979907512665,0.5211555780980975
111590042.png,0.4982955753803253,0.6617354023227303
